DrugID,number
DB01511,2552
DB01515,2553
DB01520,2554
DB01524,2555
DB01525,2556
DB01529,2557
DB01535,2558
DB01536,2559
DB01537,2560
DB01541,2561
DB01544,2562
DB01545,2563
DB01547,2564
DB01548,2565
DB01550,2566
DB01551,2567
DB01553,2568
DB01556,2569
DB01558,2570
DB01559,2571
DB01560,2572
DB01561,2573
DB01563,2574
DB01571,2575
DB01575,2576
DB01576,2577
DB01577,2578
DB01579,2579
DB01580,2580
DB01581,2581
DB01582,2582
DB01583,2583
DB01586,2584
DB01588,2585
DB01589,2586
DB01590,2587
DB01591,2588
DB01592,2589
DB01593,2590
DB01595,2591
DB01597,2592
DB01598,2593
DB01599,2594
DB01600,2595
DB01601,2596
DB01602,2597
DB01603,2598
DB01604,2599
DB01605,2600
DB01606,2601
DB01607,2602
DB01608,2603
DB01609,2604
DB01610,2605
DB01611,2606
DB01612,2607
DB01614,2608
DB01615,2609
DB01616,2610
DB01618,2611
DB01620,2612
DB01622,2613
DB01623,2614
DB01624,2615
DB01626,2616
DB01627,2617
DB01628,2618
DB01638,2619
DB01645,2620
DB01656,2621
DB01672,2622
DB01675,2623
DB01676,2624
DB01677,2625
DB01683,2626
DB01685,2627
DB01688,2628
DB01692,2629
DB01698,2630
DB01700,2631
DB01701,2632
DB01702,2633
DB01708,2634
DB01718,2635
DB01726,2636
DB01744,2637
DB01750,2638
DB01752,2639
DB01759,2640
DB01762,2641
DB01775,2642
DB01776,2643
DB01783,2644
DB01785,2645
DB01791,2646
DB01796,2647
DB01819,2648
DB01828,2649
DB01839,2650
DB01844,2651
DB01852,2652
DB01856,2653
DB01861,2654
DB01878,2655
DB01880,2656
DB01892,2657
DB01910,2658
DB01914,2659
DB01917,2660
DB01919,2661
DB01924,2662
DB01927,2663
DB01933,2664
DB01942,2665
DB01950,2666
DB01954,2667
DB01956,2668
DB01957,2669
DB01972,2670
DB01990,2671
DB01992,2672
DB01996,2673
DB01997,2674
DB02010,2675
DB02015,2676
DB02016,2677
DB02021,2678
DB02024,2679
DB02044,2680
DB02052,2681
DB02054,2682
DB02056,2683
DB02073,2684
DB02079,2685
DB02092,2686
DB02095,2687
DB02097,2688
DB02105,2689
DB02115,2690
DB02116,2691
DB02123,2692
DB02130,2693
DB02134,2694
DB02137,2695
DB02145,2696
DB02152,2697
DB02166,2698
DB02169,2699
DB02175,2700
DB02178,2701
DB02180,2702
DB02187,2703
DB02192,2704
DB02203,2705
DB02207,2706
DB02210,2707
DB02216,2708
DB02224,2709
DB02232,2710
DB02234,2711
DB02249,2712
DB02255,2713
DB02256,2714
DB02261,2715
DB02262,2716
DB02263,2717
DB02266,2718
DB02272,2719
DB02279,2720
DB02282,2721
DB02285,2722
DB02292,2723
DB02296,2724
DB02300,2725
DB02315,2726
DB02317,2727
DB02325,2728
DB02329,2729
DB02342,2730
DB02345,2731
DB02362,2732
DB02365,2733
DB02375,2734
DB02377,2735
DB02382,2736
DB02417,2737
DB02424,2738
DB02426,2739
DB02431,2740
DB02458,2741
DB02464,2742
DB02486,2743
DB02502,2744
DB02509,2745
DB02513,2746
DB02520,2747
DB02527,2748
DB02530,2749
DB02534,2750
DB02546,2751
DB02552,2752
DB02557,2753
DB02570,2754
DB02577,2755
DB02579,2756
DB02587,2757
DB02594,2758
DB02606,2759
DB02621,2760
DB02638,2761
DB02640,2762
DB02650,2763
DB02656,2764
DB02657,2765
DB02659,2766
DB02663,2767
DB02679,2768
DB02691,2769
DB02699,2770
DB02701,2771
DB02703,2772
DB02709,2773
DB02712,2774
DB02736,2775
DB02740,2776
DB02742,2777
DB02745,2778
DB02746,2779
DB02757,2780
DB02772,2781
DB02789,2782
DB02806,2783
DB02823,2784
DB02843,2785
DB02852,2786
DB02854,2787
DB02855,2788
DB02857,2789
DB02860,2790
DB02877,2791
DB02901,2792
DB02918,2793
DB02925,2794
DB02930,2795
DB02950,2796
DB02951,2797
DB02955,2798
DB02961,2799
DB02962,2800
DB02967,2801
DB02994,2802
DB02998,2803
DB02999,2804
DB03006,2805
DB03010,2806
DB03017,2807
DB03040,2808
DB03041,2809
DB03052,2810
DB03054,2811
DB03057,2812
DB03066,2813
DB03068,2814
DB03083,2815
DB03085,2816
DB03088,2817
DB03107,2818
DB03127,2819
DB03128,2820
DB03138,2821
DB03147,2822
DB03166,2823
DB03167,2824
DB03172,2825
DB03175,2826
DB03193,2827
DB03203,2828
DB03205,2829
DB03206,2830
DB03209,2831
DB03226,2832
DB03227,2833
DB03229,2834
DB03247,2835
DB03255,2836
DB03266,2837
DB03310,2838
DB03323,2839
DB03345,2840
DB03347,2841
DB03366,2842
DB03401,2843
DB03404,2844
DB03407,2845
DB03408,2846
DB03410,2847
DB03419,2848
DB03428,2849
DB03435,2850
DB03454,2851
