DrugID,DiseaseID,Drugs
DB00027,MESH:D003556,DB00091
DB00027,MESH:D003693,DB00091
DB00027,MESH:D003866,DB00091
DB00027,MESH:D003920,DB00091
DB00027,MESH:D003967,DB00091
DB00027,MESH:D004409,DB00091
DB00027,MESH:D004751,DB00091
DB00027,MESH:D005076,DB00091
DB00027,MESH:D005128,DB00091
DB00027,MESH:D005158,DB00091
DB00027,MESH:D005221,DB00091
DB00027,MESH:D005234,DB00091
DB00027,MESH:D005334,DB00091
DB00027,MESH:D005355,DB00091
DB00027,MESH:D005483,DB00091
DB00027,MESH:D005767,DB00091
DB00027,MESH:D005885,DB00091
DB00027,MESH:D005886,DB00091
DB00027,MESH:D005891,DB00091
DB00027,MESH:D005923,DB00091
DB00027,MESH:D006073,DB00091
DB00027,MESH:D006086,DB00091
DB00027,MESH:D006212,DB00091
DB00027,MESH:D006261,DB00091
DB00027,MESH:D006311,DB00091
DB00027,MESH:D006319,DB00091
DB00027,MESH:D006331,DB00091
DB00027,MESH:D006402,DB00091
DB00027,MESH:D006417,DB00091
DB00027,MESH:D006457,DB00091
DB00027,MESH:D006463,DB00091
DB00027,MESH:D006504,DB00091
DB00027,MESH:D006526,DB00091
DB00027,MESH:D006628,DB00091
DB00027,MESH:D006932,DB00091
DB00027,MESH:D006937,DB00091
DB00027,MESH:D006947,DB00091
DB00027,MESH:D006949,DB00091
DB00027,MESH:D006965,DB00091
DB00027,MESH:D006966,DB00091
DB00027,MESH:D006970,DB00091
DB00027,MESH:D006973,DB00091
DB00027,MESH:D006977,DB00091
DB00027,MESH:D006983,DB00091
DB00027,MESH:D007154,DB00091
DB00027,MESH:D007239,DB00091
DB00027,MESH:D007410,DB00091
DB00027,MESH:D007638,DB00091
DB00027,MESH:D007674,DB00091
DB00027,MESH:D007680,DB00091
DB00027,MESH:D007683,DB00091
DB00027,MESH:D007968,DB00091
DB00027,MESH:D008107,DB00091
DB00027,MESH:D008664,DB00091
DB00027,MESH:D009069,DB00091
DB00027,MESH:D009102,DB00091
DB00027,MESH:D009135,DB00091
DB00027,MESH:D009140,DB00091
DB00027,MESH:D009157,DB00091
DB00027,MESH:D009202,DB00091
DB00027,MESH:D009325,DB00091
DB00027,MESH:D009336,DB00091
DB00027,MESH:D009395,DB00091
DB00027,MESH:D009397,DB00091
DB00027,MESH:D009402,DB00091
DB00027,MESH:D009404,DB00091
DB00027,MESH:D009410,DB00091
DB00027,MESH:D009422,DB00091
DB00027,MESH:D009437,DB00091
DB00027,MESH:D009468,DB00091
DB00027,MESH:D009503,DB00091
DB00027,MESH:D009765,DB00091
DB00027,MESH:D010051,DB00091
DB00027,MESH:D010146,DB00091
DB00027,MESH:D010148,DB00091
DB00027,MESH:D010195,DB00091
DB00027,MESH:D010243,DB00091
DB00027,MESH:D010291,DB00091
DB00027,MESH:D010292,DB00091
DB00027,MESH:D010392,DB00091
DB00027,MESH:D010523,DB00091
DB00027,MESH:D011041,DB00091
DB00027,MESH:D011183,DB00091
DB00027,MESH:D011230,DB00091
DB00027,MESH:D011297,DB00091
DB00027,MESH:D011507,DB00091
DB00027,MESH:D011529,DB00091
DB00027,MESH:D011565,DB00091
DB00027,MESH:D011655,DB00091
DB00027,MESH:D011697,DB00091
DB00027,MESH:D012008,DB00091
DB00027,MESH:D012170,DB00091
DB00027,MESH:D012206,DB00091
DB00027,MESH:D012516,DB00091
DB00027,MESH:D012594,DB00091
DB00027,MESH:D012640,DB00091
DB00027,MESH:D012769,DB00091
DB00027,MESH:D013086,DB00091
DB00027,MESH:D013226,DB00091
DB00027,MESH:D013262,DB00091
DB00027,MESH:D013281,DB00091
DB00027,MESH:D013375,DB00091
DB00027,MESH:D013610,DB00091
DB00027,MESH:D013923,DB00091
DB00027,MESH:D014202,DB00091
DB00027,MESH:D014456,DB00091
DB00027,MESH:D014605,DB00091
DB00027,MESH:D014652,DB00091
DB00027,MESH:D014839,DB00091
DB00027,MESH:D014890,DB00091
DB00027,MESH:D014985,DB00091
DB00027,MESH:D015228,DB00091
DB00027,MESH:D015427,DB00091
DB00027,MESH:D015431,DB00091
DB00027,MESH:D015866,DB00091
DB00027,MESH:D016553,DB00091
DB00027,MESH:D017114,DB00091
DB00027,MESH:D017379,DB00091
DB00027,MESH:D018149,DB00091
DB00027,MESH:D018487,DB00091
DB00027,MESH:D018771,DB00091
DB00027,MESH:D018908,DB00091
DB00027,MESH:D019214,DB00091
DB00027,MESH:D019575,DB00091
DB00027,MESH:D019694,DB00091
DB00027,MESH:D020141,DB00091
DB00027,MESH:D020230,DB00091
DB00027,MESH:D020246,DB00091
DB00027,MESH:D020258,DB00091
DB00027,MESH:D020275,DB00091
DB00027,MESH:D020434,DB00091
DB00027,MESH:D033461,DB00091
DB00027,MESH:D050171,DB00091
DB00027,MESH:D050500,DB00091
DB00027,MESH:D051436,DB00091
DB00027,MESH:D051437,DB00091
DB00027,MESH:D052016,DB00091
DB00027,MESH:D053099,DB00091
DB00027,MESH:D053159,DB00091
DB00027,MESH:D054038,DB00091
DB00027,MESH:D054198,DB00091
DB00027,MESH:D054218,DB00091
DB00027,MESH:D056486,DB00091
DB00027,MESH:D056784,DB00091
DB00027,MESH:D057049,DB00091
DB00027,MESH:D057772,DB00091
DB00027,MESH:D058186,DB00091
DB00027,MESH:D064420,DB00091
DB00027,OMIM:146850,DB00091
DB00027,MESH:D006470,DB00091
DB00027,MESH:D013921,DB00091
DB00027,MESH:D013927,DB00091
DB00027,MESH:D007249,DB00091
