DiseaseID,number
MESH:C538543,124
MESH:C538556,125
MESH:C538646,126
MESH:C540770,127
MESH:C548016,128
MESH:C554498,129
MESH:C562393,130
MESH:C562463,131
MESH:C562477,132
MESH:C562565,133
MESH:C562568,134
MESH:C562573,135
MESH:C562581,136
MESH:C562707,137
MESH:C562839,138
MESH:C562942,139
MESH:C562992,140
MESH:C563161,141
MESH:C563236,142
MESH:C563387,143
MESH:C563515,144
MESH:C563614,145
MESH:C563739,146
MESH:C564013,147
MESH:C564286,148
MESH:C564616,149
MESH:C564777,150
MESH:C564945,151
MESH:C565579,152
MESH:C565662,153
MESH:C565846,154
MESH:C566417,155
MESH:C566454,156
MESH:C566627,157
MESH:C566858,158
MESH:C567144,159
MESH:C572845,160
MESH:C574275,161
MESH:D000006,162
MESH:D000007,163
MESH:D000008,164
MESH:D000013,165
MESH:D000014,166
MESH:D000015,167
MESH:D000022,168
MESH:D000026,169
MESH:D000033,170
MESH:D000034,171
MESH:D000037,172
MESH:D000038,173
MESH:D000051,174
MESH:D000067404,175
MESH:D000067836,176
MESH:D000067877,177
MESH:D000068079,178
MESH:D000070642,179
MESH:D000071056,180
MESH:D000072657,181
MESH:D000072660,182
MESH:D000075222,183
MESH:D000075224,184
MESH:D000075322,185
MESH:D000075363,186
MESH:D000077192,187
MESH:D000077195,188
MESH:D000077216,189
MESH:D000077273,190
MESH:D000077274,191
MESH:D000077277,192
MESH:D000126,193
MESH:D000137,194
MESH:D000138,195
MESH:D000140,196
MESH:D000141,197
MESH:D000142,198
MESH:D000151,199
MESH:D000152,200
MESH:D000160,201
MESH:D000163,202
MESH:D000169,203
MESH:D000170,204
MESH:D000172,205
MESH:D000193,206
MESH:D000196,207
MESH:D000208,208
MESH:D000210,209
MESH:D000219,210
MESH:D000224,211
MESH:D000230,212
MESH:D000231,213
MESH:D000236,214
MESH:D000239,215
MESH:D000257,216
MESH:D000267,217
MESH:D000274,218
MESH:D000275,219
MESH:D000292,220
MESH:D000303,221
MESH:D000306,222
MESH:D000307,223
MESH:D000308,224
MESH:D000309,225
MESH:D000310,226
MESH:D000312,227
MESH:D000326,228
MESH:D000341,229
MESH:D000347,230
MESH:D000361,231
MESH:D000370,232
MESH:D000377,233
MESH:D000379,234
MESH:D000380,235
MESH:D000381,236
MESH:D000382,237
MESH:D000386,238
MESH:D000402,239
MESH:D000405,240
MESH:D000419,241
MESH:D000430,242
MESH:D000435,243
MESH:D000437,244
MESH:D000471,245
MESH:D000472,246
MESH:D000505,247
MESH:D000506,248
MESH:D000532,249
MESH:D000542,250
MESH:D000544,251
MESH:D000550,252
MESH:D000562,253
MESH:D000568,254
MESH:D000608,255
MESH:D000647,256
MESH:D000648,257
MESH:D000686,258
MESH:D000690,259
MESH:D000707,260
MESH:D000740,261
MESH:D000741,262
MESH:D000743,263
MESH:D000744,264
MESH:D000747,265
MESH:D000748,266
MESH:D000749,267
MESH:D000751,268
MESH:D000752,269
MESH:D000753,270
MESH:D000754,271
MESH:D000755,272
MESH:D000756,273
MESH:D000757,274
MESH:D000782,275
MESH:D000783,276
MESH:D000784,277
MESH:D000787,278
MESH:D000788,279
MESH:D000789,280
MESH:D000793,281
MESH:D000795,282
MESH:D000798,283
